epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.05299,0.26377,1.34336,0.12652,0,0,0,0,0.81381,2.42767,0.28872,0.000649123,0.000649123,0.000649123
2,14.0736,0.52909,1.64957,0.19816,0,0,0,0,0.81381,2.42767,0.28872,0.00127237,0.00127237,0.00127237
3,21.1166,0.75824,1.78631,0.24121,0.00092,0.10811,0.00052,0.00021,1.02202,2.70827,0.30791,0.00185161,0.00185161,0.00185161
4,28.3015,0.58316,1.74598,0.20523,0.00053,0.16216,0.00135,0.0003,1.39331,2.93968,0.35904,0.001802,0.001802,0.001802
