timestamp,filename,plate_text,x,y,w,h
2025-11-06T18:59:06.531355,C:/carnumberplate-main/plates_crops\20251106_185906_531_f151_UNKNOWN.png,,334,649,137,50
2025-11-06T18:59:08.029298,C:/carnumberplate-main/plates_crops\20251106_185908_029_f182_UNKNOWN.png,,172,676,123,44
2025-11-06T18:59:08.621704,C:/carnumberplate-main/plates_crops\20251106_185908_621_f193_UNKNOWN.png,,146,667,154,53
2025-11-06T18:59:08.887392,C:/carnumberplate-main/plates_crops\20251106_185908_887_f196_UNKNOWN.png,,158,666,156,54
